Name;lastname;Address;zipcode;city;phones;e-mails
Cevdet;Sututan;14 Cikmaz Sk;42050;Konya;5352223444;cevdet@sucu.com
Halime;Sututan;14 Cikmaz Sk;42050;Konya;5356823445>5352223456;halime@sucu.com
Muhammer;Kanzuk;16 Genis Sk;34052;Istanbul;5352223446;muhammer@sucu.com
Gulden;Kanzuk;16 Genis Sk;34052;Istanbul;5352223447;gilden@sucu.com>gilden2@sucu.com
Murat;Kanzuk;16 Genis Sk;34052;Istanbul;5352223448;asd@sucu.com
Umit;Gercek;19 Guzel Sk;35055;Izmir;5352223449>5352223459;retertt@sucu.com>etrert@ars.com
Hanedan;Gercek;19 Guzel Sk;35055;izmir;5352223450;asdaw@sucu.com
Ismet;Suadiyeli;21 Park Sk;6057;Ankara;5352223451;cghy@sucu.com
Deniz;Suadiyeli;22 Cirkin Sk;6057;Ankara;5352223452;yuyio@sucu.com
Behcet;Karci;23 Elma Sk;52059;Nigde;5352223453>5352223465;qwcvew@sucu.com
Ali;Eniseler;24 Deniz Sk;7060;Antalya;5352223454;asdwpj@sucu.com
Veyda;Dikmen;25 Gul Sk;16061;Bursa;5352223455;xcvgd@sucu.com
